country,glacier_name,glacier_id,outline_id,year,time_system,begin_date,begin_date_unc,midseason_date,midseason_date_unc,end_date,end_date_unc,winter_balance,winter_balance_unc,summer_balance,summer_balance_unc,annual_balance,annual_balance_unc,ela_position,ela,ela_unc,aar,area,investigators,agencies,references,remarks
AQ,CANADA,877,,1993,,,,,,,,,,,,,,,,,,,,,,Index point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,CANADA,877,,1994,,,,,,,,,,,,,,,,,,,,,,Index point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,CANADA,877,,1995,,,,,,,,,,,,,,,,,,,,,,Index point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,CANADA,877,,1996,,,,,,,,,,,,,,,,,,,,,,Index point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,CANADA,877,,1997,,,,,,,,,,,,,,,,,,,,,,Index point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,CANADA,877,,1998,,,,,,,,,,,,,,,,,,,,,,Index point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,CANADA,877,,1999,,,,,,,,,,,,,,,,,,,,,,Index point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,CANADA,877,,2000,,,,,,,,,,,,,,,,,,,,,,Index point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,CANADA,877,,2001,,,,,,,,,,,,,,,,,,,,,,Index point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,CANADA,877,,2002,,,,,,,,,,,,,,,,,,,,,,Index point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,CANADA,877,,2003,,,,,,,,,,,,,,,,,,,,,,Index point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,CANADA,877,,2004,,,,,,,,,,,,,,,,,,,,,,Index point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,CANADA,877,,2005,,,,,,,,,,,,,,,,,,,,,,Index point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,CANADA,877,,2006,,,,,,,,,,,,,,,,,,,,,,Index point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,CANADA,877,,2007,,,,,,,,,,,,,,,,,,,,,,Index point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,CANADA,877,,2008,,,,,,,,,,,,,,,,,,,,,,Index point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,CANADA,877,,2009,,,,,,,,,,,,,,,,,,,,,,Index point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,CANADA,877,,2010,,,,,,,,,,,,,,,,,,,,,,Index point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,CANADA,877,,2011,,,,,,,,,,,,,,,,,,,,,,Index point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,CANADA,877,,2012,,,,,,,,,,,,,,,,,,,,,,Index point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,COMMONWEALTH,878,,1993,,,,,,,,,,,,,,,,,,,,,,Only index point measurements. Point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,COMMONWEALTH,878,,1994,,,,,,,,0.036,0.023,-0.032,0.015,0.004,0.027,,,,0.78,52200001,Andrew G. Fountain (517) | Hassan Basagic (517) | Spencer Niebuhr (531),517. Portland State University > Department of Geology | 531. University of Minnesota > Polar Geospatial Center,"Fountain et al. (2016), J. Glaciol., 62 (235), p. 976-989, doi: 10.1017/jog.2016.86",Point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,COMMONWEALTH,878,,1995,,,,,,,,0.051,0.026,0.001,0.014,0.052,0.029,,,,0.78,52200001,Andrew G. Fountain (517) | Hassan Basagic (517) | Spencer Niebuhr (531),517. Portland State University > Department of Geology | 531. University of Minnesota > Polar Geospatial Center,"Fountain et al. (2016), J. Glaciol., 62 (235), p. 976-989, doi: 10.1017/jog.2016.86",Point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,COMMONWEALTH,878,,1996,,,,,,,,-0.014,0.022,-0.007,0.011,-0.021,0.025,,,,0.78,52200001,Andrew G. Fountain (517) | Hassan Basagic (517) | Spencer Niebuhr (531),517. Portland State University > Department of Geology | 531. University of Minnesota > Polar Geospatial Center,"Fountain et al. (2016), J. Glaciol., 62 (235), p. 976-989, doi: 10.1017/jog.2016.86",Point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,COMMONWEALTH,878,,1997,,,,,,,,0.009,0.018,0.027,0.017,0.036,0.025,,,,0.82,52200001,Andrew G. Fountain (517) | Hassan Basagic (517) | Spencer Niebuhr (531),517. Portland State University > Department of Geology | 531. University of Minnesota > Polar Geospatial Center,"Fountain et al. (2016), J. Glaciol., 62 (235), p. 976-989, doi: 10.1017/jog.2016.86",Point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,COMMONWEALTH,878,,1998,,,,,,,,0.041,0.031,-0.01,0.009,0.031,0.032,,,,0.81,52200001,Andrew G. Fountain (517) | Hassan Basagic (517) | Spencer Niebuhr (531),517. Portland State University > Department of Geology | 531. University of Minnesota > Polar Geospatial Center,"Fountain et al. (2016), J. Glaciol., 62 (235), p. 976-989, doi: 10.1017/jog.2016.86",Point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,COMMONWEALTH,878,,1999,,,,,,,,0.005,0.018,-0.021,0.027,-0.016,0.033,,,,0.77,52200001,Andrew G. Fountain (517) | Hassan Basagic (517) | Spencer Niebuhr (531),517. Portland State University > Department of Geology | 531. University of Minnesota > Polar Geospatial Center,"Fountain et al. (2016), J. Glaciol., 62 (235), p. 976-989, doi: 10.1017/jog.2016.86",Point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,COMMONWEALTH,878,,2000,,,,,,,,0.014,0.018,-0.024,0.023,-0.01,0.029,,,,0.75,52200001,Andrew G. Fountain (517) | Hassan Basagic (517) | Spencer Niebuhr (531),517. Portland State University > Department of Geology | 531. University of Minnesota > Polar Geospatial Center,"Fountain et al. (2016), J. Glaciol., 62 (235), p. 976-989, doi: 10.1017/jog.2016.86",Point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,COMMONWEALTH,878,,2001,,,,,,,,0.002,0.022,-0.006,0.01,-0.004,0.025,,,,0.78,52200001,Andrew G. Fountain (517) | Hassan Basagic (517) | Spencer Niebuhr (531),517. Portland State University > Department of Geology | 531. University of Minnesota > Polar Geospatial Center,"Fountain et al. (2016), J. Glaciol., 62 (235), p. 976-989, doi: 10.1017/jog.2016.86",Point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,COMMONWEALTH,878,,2002,,,,,,,,-0.003,0.036,-0.132,0.103,-0.135,0.11,,,,0.59,52200001,Andrew G. Fountain (517) | Hassan Basagic (517) | Spencer Niebuhr (531),517. Portland State University > Department of Geology | 531. University of Minnesota > Polar Geospatial Center,"Fountain et al. (2016), J. Glaciol., 62 (235), p. 976-989, doi: 10.1017/jog.2016.86",Point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,COMMONWEALTH,878,,2003,,,,,,,,0.011,0.025,0.006,0.014,0.017,0.029,,,,0.76,52200001,Andrew G. Fountain (517) | Hassan Basagic (517) | Spencer Niebuhr (531),517. Portland State University > Department of Geology | 531. University of Minnesota > Polar Geospatial Center,"Fountain et al. (2016), J. Glaciol., 62 (235), p. 976-989, doi: 10.1017/jog.2016.86",Point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,COMMONWEALTH,878,,2004,,,,,,,,-0.036,0.036,0.011,0.015,-0.025,0.039,,,,0.66,52200001,Andrew G. Fountain (517) | Hassan Basagic (517) | Spencer Niebuhr (531),517. Portland State University > Department of Geology | 531. University of Minnesota > Polar Geospatial Center,"Fountain et al. (2016), J. Glaciol., 62 (235), p. 976-989, doi: 10.1017/jog.2016.86",Point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,COMMONWEALTH,878,,2005,,,,,,,,-0.027,0.048,-0.009,0.047,-0.036,0.067,,,,0.72,52200001,Andrew G. Fountain (517) | Hassan Basagic (517) | Spencer Niebuhr (531),517. Portland State University > Department of Geology | 531. University of Minnesota > Polar Geospatial Center,"Fountain et al. (2016), J. Glaciol., 62 (235), p. 976-989, doi: 10.1017/jog.2016.86",Point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,COMMONWEALTH,878,,2006,,,,,,,,0.052,0.051,-0.02,0.021,0.032,0.055,,,,0.78,52200001,Andrew G. Fountain (517) | Hassan Basagic (517) | Spencer Niebuhr (531),517. Portland State University > Department of Geology | 531. University of Minnesota > Polar Geospatial Center,"Fountain et al. (2016), J. Glaciol., 62 (235), p. 976-989, doi: 10.1017/jog.2016.86",Point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,COMMONWEALTH,878,,2007,,,,,,,,-0.003,0.029,-0.03,0.029,-0.033,0.041,,,,0.83,52200001,Andrew G. Fountain (517) | Hassan Basagic (517) | Spencer Niebuhr (531),517. Portland State University > Department of Geology | 531. University of Minnesota > Polar Geospatial Center,"Fountain et al. (2016), J. Glaciol., 62 (235), p. 976-989, doi: 10.1017/jog.2016.86",Point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,COMMONWEALTH,878,,2008,,,,,,,,-0.005,0.017,-0.002,0.019,-0.007,0.026,,,,0.83,52200001,Andrew G. Fountain (517) | Hassan Basagic (517) | Spencer Niebuhr (531),517. Portland State University > Department of Geology | 531. University of Minnesota > Polar Geospatial Center,"Fountain et al. (2016), J. Glaciol., 62 (235), p. 976-989, doi: 10.1017/jog.2016.86",Point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,COMMONWEALTH,878,,2009,,,,,,,,0,0.031,-0.048,0.025,-0.048,0.04,,,,0.75,52200001,Andrew G. Fountain (517) | Hassan Basagic (517) | Spencer Niebuhr (531),517. Portland State University > Department of Geology | 531. University of Minnesota > Polar Geospatial Center,"Fountain et al. (2016), J. Glaciol., 62 (235), p. 976-989, doi: 10.1017/jog.2016.86",Point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,COMMONWEALTH,878,,2010,,,,,,,,0.001,0.023,0.008,0.019,0.01,0.03,,,,0.78,52200001,Andrew G. Fountain (517) | Hassan Basagic (517) | Spencer Niebuhr (531),517. Portland State University > Department of Geology | 531. University of Minnesota > Polar Geospatial Center,"Fountain et al. (2016), J. Glaciol., 62 (235), p. 976-989, doi: 10.1017/jog.2016.86",Point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,COMMONWEALTH,878,,2011,,,,,,,,0.034,0.029,-0.053,0.106,-0.019,0.108,,,,0.81,52200001,Andrew G. Fountain (517) | Hassan Basagic (517) | Spencer Niebuhr (531),517. Portland State University > Department of Geology | 531. University of Minnesota > Polar Geospatial Center,"Fountain et al. (2016), J. Glaciol., 62 (235), p. 976-989, doi: 10.1017/jog.2016.86",Point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,COMMONWEALTH,878,,2012,,,,,,,,0.012,0.033,-0.025,0.02,-0.012,0.039,,,,0.8,52200001,Andrew G. Fountain (517) | Hassan Basagic (517) | Spencer Niebuhr (531),517. Portland State University > Department of Geology | 531. University of Minnesota > Polar Geospatial Center,"Fountain et al. (2016), J. Glaciol., 62 (235), p. 976-989, doi: 10.1017/jog.2016.86",Point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,COMMONWEALTH,878,,2013,,,,,,,,,,,,0.026,0.034,,,,0.81,52200001,Andrew G. Fountain (517) | Hassan Basagic (517) | Spencer Niebuhr (531),517. Portland State University > Department of Geology | 531. University of Minnesota > Polar Geospatial Center,"Fountain et al. (2016), J. Glaciol., 62 (235), p. 976-989, doi: 10.1017/jog.2016.86",Point balances from: http://www.mcmlter.org/content/glacier-mass-balance-summaries.
AQ,DAVIES DOME,10404,,2010,fixed,2009-02-01,0.0,,,2010-01-31,0.0,,,,,0.19,0.15,,323,,0.7,6490000,,,"Engel et al. (2018), J. Glaciol., 64(245) 349–361, doi: 10.1017/jog.2018.17",
AQ,DAVIES DOME,10404,,2011,fixed,2010-02-01,0.0,,,2011-01-31,0.0,,,,,0.08,0.12,,382,,0.59,6490000,,,"Engel et al. (2018), J. Glaciol., 64(245) 349–361, doi: 10.1017/jog.2018.17",
AQ,DAVIES DOME,10404,,2012,fixed,2011-02-01,0.0,,,2012-01-31,0.0,,,,,-0.21,0.17,,464,,0.08,6490000,,,"Engel et al. (2018), J. Glaciol., 64(245) 349–361, doi: 10.1017/jog.2018.17",
AQ,DAVIES DOME,10404,,2013,fixed,2012-02-01,0.0,,,2013-01-31,0.0,,,,,0.11,0.2,,368,,0.53,6490000,,,"Engel et al. (2018), J. Glaciol., 64(245) 349–361, doi: 10.1017/jog.2018.17",
AQ,DAVIES DOME,10404,,2014,fixed,2013-02-01,0.0,,,2014-01-31,0.0,,,,,0.04,0.1,,395,,0.49,6490000,,,"Engel et al. (2018), J. Glaciol., 64(245) 349–361, doi: 10.1017/jog.2018.17",
AQ,DAVIES DOME,10404,,2015,fixed,2014-02-01,0.0,,,2015-01-31,0.0,,,,,-0.09,0.13,,423,,0.23,6490000,,,"Engel et al. (2018), J. Glaciol., 64(245) 349–361, doi: 10.1017/jog.2018.17",
AQ,FLAGSTAFF,3974,,1958,,1957-07-02,182.0,,,1958-07-02,182.0,,,,,-0.537,,,,,,,,,"[Data from] Cogley (2008, updated 2013) | [based on] Noble (1965); British Antarctic Survey Bulletin, 5, 1-11 p",
AQ,G1,3925,,1969,,1968-07-01,182.5,,,1969-07-02,182.0,,,,,-0.01,,,,,,,,,"[Data from] Cogley (2008, updated 2013) | [based on] Kasser (1973); Fluctuations of Glaciers (1965-1970), Vol. II, 357 p | Orheim et al. (1982); Annals of Glaciology, 3, 233-238 p",
